iter	Passed	Remaining
429	1750	2320
430	1753	2314
431	1754	2307
432	1756	2300
433	1758	2293
434	1760	2286
435	1761	2279
436	1764	2273
437	1766	2267
438	1768	2260
439	1770	2253
440	1783	2260
441	1785	2253
442	1786	2246
443	1788	2240
444	1790	2233
445	1796	2231
446	1798	2224
447	1800	2218
448	1801	2211
449	1804	2204
450	1806	2198
451	1811	2195
452	1813	2189
453	1815	2183
454	1818	2177
455	1826	2179
456	1829	2173
457	1830	2166
458	1832	2159
459	1834	2153
460	1836	2146
461	1837	2140
462	1839	2133
463	1841	2127
464	1843	2120
465	1844	2114
466	1846	2107
467	1848	2101
468	1850	2095
469	1852	2089
470	1857	2085
471	1858	2079
472	1862	2075
473	1864	2069
474	1866	2062
475	1868	2056
476	1870	2050
477	1872	2044
478	1876	2041
479	1878	2035
480	1880	2029
481	1882	2023
482	1884	2017
483	1886	2011
484	1888	2004
485	1904	2014
486	1908	2010
487	1909	2003
488	1911	1997
489	1913	1991
490	1915	1985
491	1916	1979
492	1918	1972
493	1920	1967
494	1923	1962
495	1925	1956
496	1927	1950
497	1929	1944
498	1931	1938
499	1932	1932
500	1934	1926
501	1936	1920
502	1980	1957
503	1982	1951
504	1984	1945
505	1985	1938
506	1987	1932
507	1989	1926
508	1991	1920
509	1992	1914
510	1994	1909
511	1996	1902
512	1998	1897
513	2001	1892
514	2003	1886
515	2005	1880
516	2006	1874
517	2008	1868
518	2010	1863
519	2055	1897
520	2056	1891
521	2058	1884
522	2060	1879
523	2063	1874
524	2065	1868
525	2067	1862
526	2069	1857
527	2071	1851
528	2072	1845
529	2074	1839
530	2075	1833
531	2079	1829
532	2081	1823
533	2082	1817
534	2083	1811
535	2085	1805
536	2087	1799
537	2150	1846
538	2152	1841
539	2154	1835
540	2156	1829
541	2161	1826
542	2162	1820
543	2164	1814
544	2166	1808
545	2168	1802
546	2169	1796
547	2171	1790
548	2172	1785
549	2174	1779
550	2176	1773
551	2178	1768
552	2180	1762
553	2202	1773
554	2206	1769
555	2208	1763
556	2210	1758
557	2213	1753
558	2214	1747
559	2217	1742
560	2221	1738
561	2223	1732
562	2224	1726
563	2226	1721
564	2228	1715
565	2230	1710
566	2231	1704
567	2238	1702
568	2241	1697
569	2301	1736
570	2307	1733
571	2308	1727
572	2310	1721
573	2312	1716
574	2314	1710
575	2315	1704
576	2321	1701
577	2323	1696
578	2326	1691
579	2328	1686
580	2331	1681
581	2339	1679
582	2340	1674
583	2342	1668
584	2344	1663
585	2349	1660
586	2351	1654
587	2353	1649
588	2355	1643
589	2358	1638
590	2362	1634
591	2364	1629
592	2366	1624
593	2371	1620
594	2373	1615
595	2378	1612
596	2380	1607
597	2382	1601
598	2384	1596
599	2386	1590
600	2388	1585
601	2390	1580
602	2395	1576
603	2402	1575
604	2404	1570
605	2410	1567
606	2412	1561
607	2419	1560
608	2421	1554
609	2424	1550
610	2426	1545
611	2428	1539
612	2430	1534
613	2433	1529
614	2434	1524
615	2439	1520
616	2440	1515
617	2442	1509
618	2444	1504
619	2446	1499
620	2447	1493
621	2449	1488
622	2450	1483
623	2452	1477
624	2454	1472
625	2456	1467
626	2457	1462
627	2459	1456
628	2460	1451
629	2462	1446
630	2465	1441
631	2467	1436
632	2468	1431
633	2470	1426
634	2471	1420
635	2473	1415
636	2474	1410
637	2476	1405
638	2485	1404
639	2488	1400
640	2491	1395
641	2496	1392
642	2498	1387
643	2499	1381
644	2501	1376
645	2502	1371
646	2504	1366
647	2506	1361
648	2515	1360
649	2518	1356
650	2520	1351
651	2522	1346
652	2524	1341
653	2528	1337
654	2530	1332
655	2532	1327
656	2533	1322
657	2535	1317
658	2545	1317
659	2547	1312
660	2549	1307
661	2552	1303
662	2557	1299
663	2558	1294
664	2560	1289
665	2562	1284
666	2563	1280
667	2565	1275
668	2572	1272
669	2575	1268
670	2577	1263
671	2579	1259
672	2581	1254
673	2583	1249
674	2587	1245
675	2589	1241
676	2591	1236
677	2593	1231
678	2595	1226
679	2599	1223
680	2605	1220
681	2607	1215
682	2609	1211
683	2611	1206
684	2612	1201
685	2614	1196
686	2619	1193
687	2623	1189
688	2627	1185
689	2629	1181
690	2635	1178
691	2645	1177
692	2647	1172
693	2652	1169
694	2655	1165
695	2657	1160
696	2658	1155
697	2664	1152
698	2666	1148
699	2670	1144
700	2687	1146
701	2690	1142
702	2695	1138
703	2699	1135
704	2701	1130
705	2703	1125
706	2706	1121
707	2710	1117
708	2712	1113
709	2714	1108
710	2716	1104
711	2718	1099
712	2720	1095
713	2722	1090
714	2728	1087
715	2730	1083
716	2733	1078
717	2735	1074
718	2737	1069
719	2742	1066
720	2744	1061
721	2746	1057
722	2747	1052
723	2749	1048
724	2751	1043
725	2753	1039
726	2756	1035
727	2759	1030
728	2763	1027
729	2765	1022
730	2767	1018
731	2769	1013
732	2771	1009
733	2774	1005
734	2775	1000
735	2782	997
736	2786	994
737	2789	990
738	2791	985
739	2793	981
740	2795	977
741	2797	972
742	2804	969
743	2806	965
744	2808	961
745	2810	956
746	2812	952
747	2814	948
748	2816	943
749	2818	939
750	2821	935
751	2823	931
752	2826	927
753	2832	924
754	2834	919
755	2837	915
756	2840	911
757	2843	907
758	2845	903
759	2852	900
760	2854	896
761	2856	892
762	2860	888
763	2866	885
764	2869	881
765	2871	877
766	2876	873
767	2878	869
768	2880	865
769	2883	861
770	2886	857
771	2888	852
772	2891	849
773	2893	844
774	2895	840
775	2897	836
776	2898	831
777	2900	827
778	2907	824
779	2908	820
780	2910	816
781	2912	812
782	2914	807
783	2918	804
784	2921	800
785	2923	796
786	2925	791
787	2927	787
788	2930	783
789	2931	779
790	2935	775
791	2937	771
792	2939	767
793	2957	767
794	2959	763
795	2961	758
796	2963	754
797	2968	751
798	2970	747
799	2972	743
800	2975	739
801	2977	735
802	2979	731
803	2983	727
804	2986	723
805	2991	719
806	2993	716
807	2998	712
808	3000	708
809	3001	704
810	3005	700
811	3007	696
812	3009	692
813	3019	689
814	3022	686
815	3024	682
816	3027	678
817	3030	674
818	3032	670
819	3034	666
820	3035	661
821	3038	658
822	3040	653
823	3042	649
824	3047	646
825	3049	642
826	3051	638
827	3053	634
828	3054	630
829	3058	626
830	3060	622
831	3062	618
832	3065	614
833	3067	610
834	3070	606
835	3074	603
836	3076	599
837	3079	595
838	3082	591
839	3083	587
840	3086	583
841	3089	579
842	3092	575
843	3094	571
844	3097	568
845	3099	564
846	3101	560
847	3105	556
848	3107	552
849	3109	548
850	3111	544
851	3114	540
852	3116	537
853	3121	533
854	3123	529
855	3126	525
856	3128	522
857	3136	519
858	3138	515
859	3140	511
860	3143	507
861	3145	503
862	3147	499
863	3152	496
864	3153	492
865	3155	488
866	3159	484
867	3161	480
868	3163	476
869	3165	473
870	3167	469
871	3170	465
872	3173	461
873	3174	457
874	3176	453
875	3178	449
876	3180	446
877	3182	442
878	3183	438
879	3190	435
880	3192	431
881	3194	427
882	3196	423
883	3199	419
884	3202	416
885	3204	412
886	3210	409
887	3212	405
888	3216	401
889	3222	398
890	3224	394
891	3227	390
892	3230	387
893	3234	383
894	3236	379
895	3239	375
896	3241	372
897	3243	368
898	3245	364
899	3250	361
900	3252	357
901	3254	353
902	3257	349
903	3260	346
904	3265	342
905	3267	339
906	3269	335
907	3271	331
908	3273	327
909	3275	323
910	3279	320
911	3282	316
912	3284	313
913	3286	309
914	3289	305
915	3293	302
916	3297	298
917	3301	294
918	3303	291
919	3305	287
920	3309	283
921	3311	280
922	3313	276
923	3315	272
924	3318	269
925	3320	265
926	3321	261
927	3332	258
928	3334	254
929	3338	251
930	3341	247
931	3343	243
932	3345	240
933	3347	236
934	3349	232
935	3353	229
936	3357	225
937	3362	222
938	3364	218
939	3367	214
940	3369	211
941	3375	207
942	3377	204
943	3379	200
944	3381	196
945	3383	193
946	3385	189
947	3391	186
948	3393	182
949	3395	178
950	3397	175
951	3401	171
952	3403	167
953	3405	164
954	3406	160
955	3409	156
956	3411	153
957	3414	149
958	3421	146
959	3423	142
960	3425	138
961	3426	135
962	3429	131
963	3432	128
964	3434	124
965	3436	120
966	3438	117
967	3442	113
968	3447	110
969	3452	106
970	3454	103
971	3455	99
972	3458	95
973	3462	92
974	3464	88
975	3468	85
976	3470	81
977	3473	78
978	3474	74
979	3478	70
980	3480	67
981	3482	63
982	3483	60
983	3486	56
984	3488	53
985	3490	49
986	3493	46
987	3495	42
988	3496	38
989	3499	35
990	3501	31
991	3502	28
992	3504	24
993	3509	21
994	3511	17
995	3513	14
996	3515	10
997	3517	7
998	3519	3
999	3522	0
